## File generated by myo_cap software
## Available from github.com/ddantas/myo_cap
## Timestamp: 2018-05-23_20-57-32
##
## EMG capture settings##
# sampleRate: 2000
# channelsPerBoard: 4
# nBoards: 1
# bitsPerSample: 12
##
## Data
## t;ch0;ch1;...;ch(channelsPerBoard * nBoards - 1)
132;154;147;141
252;317;266;254
256;330;303;261
214;293;256;255
137;204;215;227
15;53;98;129
0;0;6;14
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;0
28;16;22;32
47;51;71;117
71;99;134;139
95;134;137;136
123;153;138;136
240;274;251;265
265;350;340;323
234;335;318;282
171;256;249;235
48;120;136;133
0;1;15;23
0;0;0;0
0;0;0;0
0;0;0;0
13;1;1;1
21;9;5;5
33;31;36;52
53;66;94;129
73;112;137;139
103;153;142;137
172;238;255;242
256;338;336;334
253;324;313;287
193;266;260;255
93;152;146;138
1;10;29;43
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;1
20;8;10;13
31;23;28;40
46;55;76;117
77;111;127;134
101;145;134;134
149;196;213;245
258;346;339;334
255;328;323;301
209;285;259;246
123;165;165;149
6;17;38;60
0;0;0;0
0;0;0;0
0;0;0;0
2;0;0;0
6;0;0;0
26;19;21;35
39;43;58;89
65;90;130;131
85;131;138;131
119;150;141;140
236;294;264;255
262;353;351;334
236;336;322;293
163;250;257;254
51;120;135;146
0;1;14;33
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
18;5;3;2
34;29;35;43
51;63;87;124
81;119;137;132
107;148;136;139
173;228;254;236
255;328;320;300
256;320;300;261
202;271;256;249
110;165;163;150
4;15;39;55
0;0;0;0
0;0;0;0
0;0;0;0
3;0;0;1
21;8;9;12
27;22;24;33
52;63;92;126
72;105;134;131
107;132;138;134
140;169;173;182
259;315;283;257
264;328;309;270
212;289;256;264
134;181;192;202
1;20;46;80
0;0;0;3
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
21;7;6;3
41;40;54;76
58;81;120;144
81;123;136;140
115;142;135;140
193;250;262;246
261;337;333;314
252;313;296;261
186;257;254;254
83;134;149;135
0;0;14;20
0;0;0;0
0;0;0;0
0;0;0;0
1;0;0;0
17;6;9;12
34;31;40;57
51;64;94;137
68;105;137;134
106;151;140;134
135;183;181;183
265;330;304;269
259;324;307;265
206;274;253;243
130;178;188;184
12;34;62;105
0;0;0;4
0;0;0;0
0;0;0;0
0;0;0;0
13;0;0;0
28;23;28;44
47;55;78;127
70;104;133;131
95;134;144;137
130;157;150;145
250;291;253;254
258;330;305;265
219;300;257;247
137;198;216;238
11;48;98;145
0;0;10;28
0;0;0;0
0;0;0;0
0;0;0;0
5;0;0;0
22;14;16;31
42;46;64;103
59;83;122;132
89;129;137;132
120;151;140;138
243;279;251;253
264;349;340;323
226;324;297;256
162;254;256;236
39;115;136;133
0;2;16;33
0;0;0;0
0;0;0;0
0;0;0;0
6;0;0;1
19;8;4;3
39;37;48;74
